timestamp,disk_used_gb,disk_total_gb,disk_used_percent
2026-04-19T00:00:00Z,120.0,200,60.0
2026-04-19T00:01:00Z,120.1,200,60.0
2026-04-19T00:02:00Z,120.2,200,60.1
2026-04-19T00:03:00Z,120.2,200,60.1
2026-04-19T00:04:00Z,120.3,200,60.2
2026-04-19T00:05:00Z,120.4,200,60.2
2026-04-19T00:06:00Z,120.5,200,60.2
2026-04-19T00:07:00Z,120.6,200,60.3
2026-04-19T00:08:00Z,120.6,200,60.3
2026-04-19T00:09:00Z,120.7,200,60.4
2026-04-19T00:10:00Z,120.8,200,60.4
2026-04-19T00:11:00Z,120.9,200,60.5
2026-04-19T00:12:00Z,121.0,200,60.5
2026-04-19T00:13:00Z,121.0,200,60.5
2026-04-19T00:14:00Z,121.1,200,60.5
2026-04-19T00:15:00Z,121.2,200,60.6
2026-04-19T00:16:00Z,121.3,200,60.7
2026-04-19T00:17:00Z,121.4,200,60.7
2026-04-19T00:18:00Z,121.4,200,60.7
2026-04-19T00:19:00Z,121.5,200,60.8
2026-04-19T00:20:00Z,121.6,200,60.8
2026-04-19T00:21:00Z,121.7,200,60.9
2026-04-19T00:22:00Z,121.8,200,60.9
2026-04-19T00:23:00Z,121.8,200,60.9
2026-04-19T00:24:00Z,121.9,200,61.0
2026-04-19T00:25:00Z,122.0,200,61.0
2026-04-19T00:26:00Z,122.1,200,61.0
2026-04-19T00:27:00Z,122.2,200,61.1
2026-04-19T00:28:00Z,122.2,200,61.1
2026-04-19T00:29:00Z,122.3,200,61.1
2026-04-19T00:30:00Z,122.4,200,61.2
2026-04-19T00:31:00Z,122.5,200,61.3
2026-04-19T00:32:00Z,122.6,200,61.3
2026-04-19T00:33:00Z,122.6,200,61.3
2026-04-19T00:34:00Z,122.7,200,61.4
2026-04-19T00:35:00Z,122.8,200,61.4
2026-04-19T00:36:00Z,122.9,200,61.5
2026-04-19T00:37:00Z,123.0,200,61.5
2026-04-19T00:38:00Z,123.0,200,61.5
2026-04-19T00:39:00Z,123.1,200,61.5
2026-04-19T00:40:00Z,123.2,200,61.6
2026-04-19T00:41:00Z,123.3,200,61.6
2026-04-19T00:42:00Z,123.4,200,61.7
2026-04-19T00:43:00Z,123.4,200,61.7
2026-04-19T00:44:00Z,123.5,200,61.8
2026-04-19T00:45:00Z,123.6,200,61.8
2026-04-19T00:46:00Z,123.7,200,61.9
2026-04-19T00:47:00Z,123.8,200,61.9
2026-04-19T00:48:00Z,123.8,200,61.9
2026-04-19T00:49:00Z,123.9,200,62.0
2026-04-19T00:50:00Z,124.0,200,62.0
2026-04-19T00:51:00Z,124.1,200,62.0
2026-04-19T00:52:00Z,124.2,200,62.1
2026-04-19T00:53:00Z,124.2,200,62.1
2026-04-19T00:54:00Z,124.3,200,62.1
2026-04-19T00:55:00Z,124.4,200,62.2
